id,title,description,category,brand,price,color,gender,rating,created_at
192,Chanel Tailored Wide-Leg Trousers with Ribbed Hem,"Made with linen for a premium hand-feel. Designed for training with a high-waisted silhouette. Details: mesh panels, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,Chanel,311.27,Green,Men,4.17,2025-08-20 14:06:00 
193,GymClark Heritage Running Jacket with Lace Trim,"Made with moisture-wicking poly for a premium hand-feel. Designed for weekend with a oversized silhouette. Details: mesh panels, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,GymClark,99.33,Orange,Women,4.46,2025-05-15 17:19:00 
194,Louis Vuitton Women Studio Modal Lounge Set with Zip Detail,,Lingerie & Sleepwear,Louis Vuitton,213.31,Yellow,Women,3.87,2025-02-03 21:04:00 
195,Prada Strappy Sandals,"Made with mesh knit for a premium hand-feel. Designed for studio with a cropped silhouette. Details: tapered leg, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Prada,298.14,Orange,Women,4.05,2025-04-08 00:50:00 
196,GymClark Modern Silk Blouse,An easy-to-style piece with a modern fit.,Tops,GymClark,41.31,Gray,Women,4.15,2025-11-19 11:33:00 
197,Chanel Minimalist Minimalist Trainers,"Made with rubber for a premium hand-feel. Designed for evening with a lightweight silhouette. Details: subtle logo hardware, structured shoulders, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Chanel,669.27,Red,Men,3.72,2025-07-16 23:38:00 
198,UrbanChic Sunglasses,"Featuring the UrbanChic Sunglasses, this product offers comfort and durability. A versatile staple for everyday wear.",Accessories,UrbanChic,17.29,Blue,Unisex,4.15,2024-11-24 12:11:00 
199,Louis Vuitton Women Tailored Slip Dress,This Louis Vuitton Women Tailored Slip Dress is designed for everyday use. A versatile staple for everyday wear.,Dresses,Louis Vuitton,732.12,Blue,Women,4.31,2024-12-10 12:48:00 
200,Balenciaga Swim Trunks,A versatile staple for everyday wear.,Swimwear,Balenciaga,203.76,Yellow,Unisex,4.46,2025-03-15 09:46:00 
201,StreetWear High-Waist Bikini Bottom,"Made with quick-dry poly for a premium hand-feel. Designed for evening with a breathable silhouette. Details: ribbed cuffs, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Swimwear,StreetWear,164.8,Gray,Men,3.41,2025-03-25 22:36:00 
202,Elegante Oversized Pleated Midi Dress with Zip Detail,The Elegante Oversized Pleated Midi Dress with Zip Detail stands out for its quality and style. A versatile staple for everyday wear.,Dresses,Elegante,505.21,Purple,Women,3.85,2024-12-11 04:37:00 
203,StreetWear Heritage Training Shorts,A versatile staple for everyday wear.,Activewear,StreetWear,25.6,Gray,Women,4.14,2025-10-14 14:28:00 
204,Minimalist Classic Wide-Leg Trousers,A classic essential with elevated details.,Bottoms,Minimalist,148.41,Gray,Women,4.15,2025-03-12 12:41:00 
205,Zana High-Waist Bikini Bottom,"The Zana High-Waist Bikini Bottom stands out for its quality and style. Made with quick-dry poly for a premium hand-feel. Designed for workwear with a water-resistant silhouette. Details: functional pockets, ribbed cuffs, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Swimwear,Zana,23.39,Brown,Unisex,4.18,2025-03-17 04:24:00 
206,Mango Studio Pleated Chinos,A classic essential with elevated details.,Bottoms,Mango,250,Orange,Men,3.96,2025-02-07 00:09:00 
207,Elegante Studio Cashmere V-Neck Sweater,"Made with merino wool for a premium hand-feel. Designed for travel with a easy-care silhouette. Details: contrast stitching, functional pockets, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Elegante,19.71,Orange,Women,4.31,2025-10-12 19:41:00 
208,Prada Ribbed Tank Top,"Made with silk for a premium hand-feel. Designed for everyday wear with a lightweight silhouette. Details: tapered leg, lace trim, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Prada,405.02,Green,Women,3.96,2025-12-18 19:21:00 
209,Prada Ribbed Tank Top,"Featuring the Prada Ribbed Tank Top, this product offers comfort and durability. Comfortable, flattering, and designed to last.",Tops,Prada,258.23,Purple,Women,4.84,2024-11-27 08:57:00 
210,GymClark Women Triangle Bikini Top with Belt,"Comfortable, flattering, and designed to last.",Swimwear,GymClark,69.08,Pink,Women,3.76,2025-04-17 02:20:00 
211,Elegante Sports Cap,A classic essential with elevated details.,Accessories,Elegante,919.81,Pink,Women,4,2025-08-03 05:21:00 
212,Minimalist Heritage Crossbody Bag,This Minimalist Heritage Crossbody Bag is designed for everyday use. Seasonal style.,Accessories,Minimalist,511.79,Orange,Women,3.92,2025-05-08 12:02:00 
213,GymClark Heritage Running Jacket with Lace Trim,"Made with nylon-spandex for a premium hand-feel. Designed for vacation with a mid-rise silhouette. Details: soft-touch lining, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,GymClark,74.46,Yellow,Women,4.74,2025-07-28 03:49:00 
214,Mango Classic Platform Sneakers,A versatile staple for everyday wear.,Footwear,Mango,375.77,Brown,Men,4.85,2025-07-24 04:03:00 
215,GymClark Seamless Briefs,An easy-to-style piece with a modern fit.,Lingerie & Sleepwear,GymClark,32.11,Red,Women,4.46,2025-04-07 03:23:00 
216,Elegante Tailored Ribbed Tank Top with Belt,"Comfortable, flattering, and designed to last.",Tops,Elegante,57.46,Purple,Men,3.62,2025-06-19 20:34:00 
217,Chanel One-Piece Swimsuit,"Comfortable, flattering, and designed to last.",Swimwear,Chanel,86.33,White,Men,3.87,2025-03-14 05:50:00 
218,Chanel Performance Leggings with Belt,An easy-to-style piece with a modern fit.,Activewear,Chanel,302.1,Yellow,Men,3.87,2025-05-22 00:16:00 
219,Louis Vuitton Running Shoes,A versatile staple for everyday wear.,Footwear,Louis Vuitton,437,Yellow,Unisex,4.41,2024-10-19 03:55:00 
220,UrbanChic Classic Relaxed Shirt Dress,A classic essential with elevated details.,Dresses,UrbanChic,99.6,Brown,Women,3.85,2024-12-14 20:56:00 
221,Minimalist Denim Shorts with Graphic Print,A versatile staple for everyday wear.,Bottoms,Minimalist,48.11,Green,Women,4.6,2025-09-14 04:49:00 
222,Chanel Board Shorts with Ribbed Hem,A classic essential with elevated details.,Swimwear,Chanel,48.73,Gray,Women,4.3,2025-04-16 08:37:00 
223,Chanel Minimalist Trainers,A classic essential with elevated details.,Footwear,Chanel,267.43,Blue,Unisex,4.8,2025-10-26 07:50:00 
224,Chanel Structured Blazer,"Made with twill for a premium hand-feel. Designed for formal events with a wrinkle-resistant silhouette. Details: tapered leg, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Suits & Blazers,Chanel,564.53,Pink,Men,4.2,2025-08-14 13:42:00 
225,StreetWear City Set of 3 Jewelry Pieces,"Made with sterling silver for a premium hand-feel. Designed for travel with a four-way stretch silhouette. Details: subtle logo hardware, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,StreetWear,603.85,Brown,Men,3.84,2025-06-22 09:33:00 
226,Louis Vuitton City Pleated Midi Dress with Lace Trim,An easy-to-style piece with a modern fit.,Dresses,Louis Vuitton,379.32,Gray,Unisex,4.36,2026-01-16 09:15:00 
227,Chanel Studio Denim Jacket,An easy-to-style piece with a modern fit.,Outerwear,Chanel,731.61,Green,Women,4.2,2024-09-04 09:57:00 
228,Asisas Orange Crop Top - Outlet,"Made with silk for a premium hand-feel. Designed for workwear with a cropped silhouette. Details: adjustable straps, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Asisas,11.22,Orange,Men,1.4,2025-07-03 18:29:00 
229,Gucci Seamless Briefs (Best Seller),"Made with modal for a premium hand-feel. Designed for evening with a slim fit silhouette. Details: tapered leg, mesh panels, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Lingerie & Sleepwear,Gucci,342.93,Black,Women,4.79,2025-02-07 15:43:00 
230,Gucci Modern Chelsea Boots with Ribbed Hem,This Gucci Modern Chelsea Boots with Ribbed Hem is designed for everyday use. A classic essential with elevated details.,Footwear,Gucci,128.43,Orange,Women,4.28,2024-09-26 07:51:00 
231,Elegante Signature Summer Maxi Dress,This Elegante Signature Summer Maxi Dress is designed for everyday use. A classic essential with elevated details.,Dresses,Elegante,254.6,Yellow,Women,3.68,2025-11-06 02:39:00 
232,Balenciaga Sunglasses,"Made with leather for a premium hand-feel. Designed for street style with a insulated silhouette. Details: structured shoulders, adjustable straps, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Balenciaga,229.65,Pink,Women,3.96,2024-10-28 23:41:00 
233,Minimalist Retro Minimalist Trainers,"Made with suede for a premium hand-feel. Designed for everyday wear with a tailored silhouette. Details: tapered leg, ribbed cuffs, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Minimalist,313.72,White,Women,4.34,2025-11-09 07:12:00 
234,GymClark Men Classic Running Shoes,A versatile staple for everyday wear.,Footwear,GymClark,374.82,Brown,Men,4.45,2024-08-21 16:52:00 
235,Asisas Classic Training Shorts with Graphic Print,This Asisas Classic Training Shorts with Graphic Print is designed for everyday use. A classic essential with elevated details.,Activewear,Asisas,36.25,Pink,Women,3.79,2024-10-25 08:34:00 
236,Prada One-Piece Swimsuit,An easy-to-style piece with a modern fit.,Swimwear,Prada,157.05,Pink,Women,4.73,2025-04-12 13:05:00 
237,Elegante Minimalist Trainers,This Elegante Minimalist Trainers is designed for everyday use. An easy-to-style piece with a modern fit.,Footwear,Elegante,492.01,Purple,Women,4.03,2024-11-17 20:55:00 
238,Mango Heritage Denim Jacket,A classic essential with elevated details.,Outerwear,Mango,82.5,Blue,Women,4.24,2024-09-07 18:31:00 
239,Louis Vuitton Canvas Tote,"Customers choose the Louis Vuitton Canvas Tote for its reliability. Made with resin for a premium hand-feel. Designed for workwear with a tailored silhouette. Details: ribbed cuffs, structured shoulders, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Louis Vuitton,941.99,Purple,Women,4.52,2025-10-04 15:54:00 
240,Minimalist Men Silk Blouse,"Made with merino wool for a premium hand-feel. Designed for travel with a mid-rise silhouette. Details: ribbed cuffs, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Minimalist,154.69,Blue,Men,4.37,2025-07-22 23:29:00 
241,Louis Vuitton Oversized A-Line Skirt,This Louis Vuitton Oversized A-Line Skirt is designed for everyday use. An easy-to-style piece with a modern fit.,Bottoms,Louis Vuitton,671.08,Green,Women,4.34,2025-02-20 17:44:00 
242,GymClark Modern Silk Blouse,"Made with silk for a premium hand-feel. Designed for street style with a cropped silhouette. Details: soft-touch lining, subtle logo hardware, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,GymClark,216.64,Green,Women,3.57,2025-02-04 07:14:00 
243,Minimalist Sports Cap,"Comfortable, flattering, and designed to last.",Accessories,Minimalist,53.15,Brown,Unisex,4.36,2024-09-18 23:12:00 
244,Louis Vuitton Modern High-Waisted Jeans,An easy-to-style piece with a modern fit.,Bottoms,Louis Vuitton,228.32,White,Unisex,3.6,2024-11-07 23:30:00 
245,Mango Signature Wrap Midi Dress,,Dresses,Mango,226.09,Black,Women,4.14,2025-10-28 14:08:00 
246,Balenciaga High-Waist Bikini Bottom,,Swimwear,Balenciaga,105.5,White,Men,4.11,2025-04-10 08:09:00 
247,UrbanChic Seamless Briefs,A classic essential with elevated details.,Lingerie & Sleepwear,UrbanChic,200.08,Black,Women,3.8,2024-10-02 13:57:00 
248,Balenciaga Heritage Ribbed Tank Top,An easy-to-style piece with a modern fit.,Tops,Balenciaga,160.57,Green,Unisex,4.6,2025-05-11 14:53:00 
249,UrbanChic Studio Linen Trousers,"Comfortable, flattering, and designed to last.",Bottoms,UrbanChic,314.07,Gray,Unisex,3.81,2026-01-02 16:10:00 
250,UrbanChic Denim Jacket,"Featuring the UrbanChic Denim Jacket, this product offers comfort and durability. A classic essential with elevated details.",Outerwear,UrbanChic,144.55,White,Women,4.16,2024-10-17 16:45:00 
251,Niky Running Jacket (Best Seller),"Made with nylon-spandex for a premium hand-feel. Designed for vacation with a relaxed fit silhouette. Details: ribbed cuffs, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,Niky,156.42,Purple,Women,4.89,2025-04-14 07:41:00 
252,Balenciaga Board Shorts with Zip Detail,This Balenciaga Board Shorts with Zip Detail is designed for everyday use. A versatile staple for everyday wear.,Swimwear,Balenciaga,393.17,Purple,Unisex,4.05,2025-06-17 00:54:00 
253,Niky Tailored Blazer,A versatile staple for everyday wear.,Suits & Blazers,Niky,402.1,Black,Women,4.24,2025-03-16 22:27:00 
254,Niky Studio Tailored A-Line Skirt,"Made with wool blend for a premium hand-feel. Designed for evening with a four-way stretch silhouette. Details: adjustable straps, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Bottoms,Niky,155.27,Black,Men,4.32,2024-09-06 19:52:00 
255,Asisas Cashmere V-Neck Sweater,"Comfortable, flattering, and designed to last.",Tops,Asisas,172.2,Purple,Men,4.28,2025-08-12 23:45:00 
256,Louis Vuitton Silk Blouse,Classic fit.,Tops,Louis Vuitton,672.43,Yellow,Unisex,4.29,2025-07-15 05:31:00 
257,Gucci Classic Graphic T-Shirt,"Comfortable, flattering, and designed to last.",Tops,Gucci,502.84,Red,Men,4.45,2024-08-18 14:52:00 
258,Prada Ankle Boots,"Comfortable, flattering, and designed to last.",Footwear,Prada,468.43,Black,Unisex,3.96,2025-08-01 18:11:00 
259,StreetWear Ribbed Tank Top,"Made with silk for a premium hand-feel. Designed for vacation with a four-way stretch silhouette. Details: structured shoulders, tapered leg, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,StreetWear,105.48,White,Women,4.11,2025-03-02 19:48:00 
260,Niky Cotton T-Shirt with Graphic Print,"Made with silk for a premium hand-feel. Designed for travel with a easy-care silhouette. Details: contrast stitching, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Niky,366.9,Purple,Men,4.15,2025-04-17 18:20:00 
261,Mango Heritage Denim Jacket,"Made with down for a premium hand-feel. Designed for vacation with a breathable silhouette. Details: adjustable straps, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Weather notes: designed to layer comfortably; ideal for transitional temperatures.",Outerwear,Mango,87.88,Orange,Women,4.43,2025-09-10 18:57:00 
262,Gucci Classic Graphic T-Shirt,A classic essential with elevated details.,Tops,Gucci,43.59,Blue,Men,4.12,2025-06-21 10:45:00 
263,UrbanChic Summer Maxi Dress,"This UrbanChic Summer Maxi Dress is designed for everyday use. Comfortable, flattering, and designed to last.",Dresses,UrbanChic,40.16,Green,Women,4.04,2025-05-19 04:21:00 
264,Balenciaga Heritage Ribbed Tank Top,"The Balenciaga Heritage Ribbed Tank Top stands out for its quality and style. Made with linen for a premium hand-feel. Designed for studio with a tailored silhouette. Details: hidden side zipper, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Balenciaga,952.05,Red,Unisex,4.02,2025-02-17 14:13:00 
265,Balenciaga Modern Stretch Suit Trousers,"Comfortable, flattering, and designed to last.",Suits & Blazers,Balenciaga,371.83,Black,Men,4.32,2025-11-26 12:15:00 
266,StreetWear Signature Linen Trousers,"Comfortable, flattering, and designed to last.",Bottoms,StreetWear,39.41,Pink,Unisex,3.95,2024-09-05 03:07:00 
267,Gucci Modern Chelsea Boots with Ribbed Hem,"Made with mesh knit for a premium hand-feel. Designed for weekend with a lightweight silhouette. Details: adjustable straps, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Gucci,1723.99,Red,Women,4.09,2025-01-10 01:47:00 
268,Asisas City Leather Loafers with Belt,"Made with mesh knit for a premium hand-feel. Designed for weekend with a breathable silhouette. Details: mesh panels, structured shoulders, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Asisas,312.65,Purple,Women,4.96,2024-08-16 02:23:00 
269,GymClark Tuxedo Blazer,The GymClark Tuxedo Blazer stands out for its quality and style. A classic essential with elevated details.,Suits & Blazers,GymClark,1457.04,Pink,Men,4.49,2025-10-07 03:06:00 
270,Louis Vuitton Oversized Blazer Coat,"Made with down for a premium hand-feel. Designed for street style with a oversized silhouette. Details: adjustable straps, ribbed cuffs, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Weather notes: designed to layer comfortably; ideal for transitional temperatures.",Outerwear,Louis Vuitton,1977.35,Orange,Unisex,4.63,2025-09-14 09:39:00 
271,Zana Graphic T-Shirt,"The Zana Graphic T-Shirt stands out for its quality and style. Made with linen for a premium hand-feel. Designed for formal events with a high-waisted silhouette. Details: structured shoulders, contrast stitching, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,Zana,150.39,Purple,Men,3.94,2025-10-07 17:05:00 
272,Minimalist Classic Wide-Leg Trousers,Customers choose the Minimalist Classic Wide-Leg Trousers for its reliability. A versatile staple for everyday wear.,Bottoms,Minimalist,463.24,White,Women,3.85,2025-03-29 17:03:00 
273,StreetWear Silk Scarf with Graphic Print,"This StreetWear Silk Scarf with Graphic Print is designed for everyday use. Comfortable, flattering, and designed to last.",Accessories,StreetWear,732.85,Purple,Men,3.53,2025-02-17 19:41:00 
274,Mango Pink Yoga Tank,"Comfortable, flattering, and designed to last.",Activewear,Mango,215.5,Pink,Men,4.87,2025-12-30 22:35:00 
275,Mango Denim Jacket,This Mango Denim Jacket is designed for everyday use. An easy-to-style piece with a modern fit.,Outerwear,Mango,104.22,Green,Men,3.55,2025-02-01 13:51:00 
276,Louis Vuitton Women Tailored Slip Dress,A classic essential with elevated details.,Dresses,Louis Vuitton,746.14,Black,Women,4.65,2024-09-03 19:27:00 
277,Asisas Suit Vest,A versatile staple for everyday wear.,Suits & Blazers,Asisas,537,Black,Men,4.17,2025-12-08 07:56:00 
278,Louis Vuitton Relaxed Cotton T-Shirt with Graphic Print,A classic essential with elevated details.,Tops,Louis Vuitton,51.72,Orange,Men,4.11,2024-08-17 08:49:00 
279,Mango Signature Seamless Briefs,,Lingerie & Sleepwear,Mango,128.87,Red,Women,3.9,2025-05-28 20:30:00 
280,Asisas Studio Pleated Chinos with Lace Trim,A versatile staple for everyday wear.,Bottoms,Asisas,429.88,Purple,Women,3.98,2024-10-23 10:38:00 
281,Prada Ankle Boots,"Made with suede for a premium hand-feel. Designed for everyday wear with a lightweight silhouette. Details: mesh panels, functional pockets, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Prada,1697.47,Gray,Unisex,4.61,2025-09-13 21:23:00 
282,Balenciaga Sunglasses (Best Seller),"Made with cotton for a premium hand-feel. Designed for formal events with a slim fit silhouette. Details: ribbed cuffs, elastic waistband, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Balenciaga,33.45,White,Women,4.74,2025-04-06 00:25:00 
283,GymClark Crossbody Bag,A classic essential with elevated details.,Accessories,GymClark,13.93,Green,Women,4.01,2025-12-27 14:01:00 
284,Zana Studio Training Shorts,A versatile staple for everyday wear.,Activewear,Zana,145.98,Brown,Women,4.02,2026-01-13 18:55:00 
285,Prada Men Modern Cushioned Leather Loafers with Ribbed Hem,An easy-to-style piece with a modern fit.,Footwear,Prada,261.27,Orange,Men,4.89,2024-09-04 18:04:00 
286,Chanel Leather Pants,An easy-to-style piece with a modern fit.,Bottoms,Chanel,582.03,Orange,Women,4.16,2024-08-22 15:01:00 
287,Balenciaga Double-Breasted Blazer,"Made with wool for a premium hand-feel. Designed for studio with a insulated silhouette. Details: elastic waistband, subtle logo hardware, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Suits & Blazers,Balenciaga,1177.78,Green,Women,4.17,2024-08-07 13:39:00 
288,Gucci Modern Pleated Midi Dress,"Comfortable, flattering, and designed to last.",Dresses,Gucci,427.9,Yellow,Women,4.25,2025-05-10 22:48:00 
289,StreetWear Sports Cap,"Made with sterling silver for a premium hand-feel. Designed for everyday wear with a tailored silhouette. Details: contrast stitching, subtle logo hardware, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,StreetWear,21.94,Green,Women,3.98,2025-10-29 06:40:00 
290,UrbanChic Rash Guard,A classic essential with elevated details.,Swimwear,UrbanChic,30.13,Blue,Women,4.38,2025-03-14 16:45:00 
291,Gucci Relaxed Slip Dress,"Made with silk for a premium hand-feel. Designed for evening with a breathable silhouette. Details: mesh panels, hidden side zipper, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Dresses,Gucci,1451.76,Pink,Women,4.18,2024-11-23 22:38:00 
292,Louis Vuitton Women Tailored Slip Dress,Classic fit.,Dresses,Louis Vuitton,98.63,Gray,Women,4.35,2025-03-26 00:47:00 
293,Asisas Pleated Midi Dress,An easy-to-style piece with a modern fit.,Dresses,Asisas,32.62,Purple,Women,4.47,2025-08-27 03:31:00 
294,UrbanChic City Off-Shoulder Dress,A versatile staple for everyday wear.,Dresses,UrbanChic,32.8,Brown,Women,4.08,2025-09-06 21:07:00 
295,UrbanChic City Off-Shoulder Dress,Customers choose the UrbanChic City Off-Shoulder Dress for its reliability. A classic essential with elevated details.,Dresses,UrbanChic,116.13,Orange,Women,4.35,2024-07-23 10:50:00 
296,Louis Vuitton Rain Shell Jacket,A versatile staple for everyday wear.,Outerwear,Louis Vuitton,255.02,Black,Men,4.12,2025-01-25 18:37:00 
297,Asisas Classic Running Shoes,,Footwear,Asisas,441.24,Gray,Women,4.13,2025-03-14 06:22:00 
298,Louis Vuitton Lightweight Platform Sneakers,An easy-to-style piece with a modern fit.,Footwear,Louis Vuitton,250.71,Blue,Women,4.29,2025-01-13 21:27:00 
299,UrbanChic Tailored Pleated Chinos,The UrbanChic Tailored Pleated Chinos stands out for its quality and style. An easy-to-style piece with a modern fit.,Bottoms,UrbanChic,346.19,Yellow,Men,4.07,2025-02-16 08:52:00 
300,Prada Ribbed Tank Top,An easy-to-style piece with a modern fit.,Tops,Prada,101.71,Purple,Women,3.82,2025-09-08 09:44:00 
301,Minimalist Chelsea Boots,A versatile staple for everyday wear.,Footwear,Minimalist,48.87,Yellow,Women,4.2,2025-03-14 00:49:00 
302,Gucci Wrap Midi Dress,A versatile staple for everyday wear.,Dresses,Gucci,331.22,White,Unisex,4.11,2025-02-26 22:04:00 
303,Minimalist Classic Wide-Leg Trousers,A classic essential with elevated details.,Bottoms,Minimalist,339.66,Red,Women,4.46,2025-03-25 07:08:00 
304,Minimalist Women Off-Shoulder Dress,"Comfortable, flattering, and designed to last.",Dresses,Minimalist,583.63,Red,Women,4.26,2024-09-01 18:49:00 
305,Mango Relaxed Silk Blouse,A classic essential with elevated details.,Tops,Mango,37.42,Gray,Women,4.59,2025-06-01 19:48:00 
306,Minimalist Women Beanie Hat,A versatile staple for everyday wear.,Accessories,Minimalist,130.1,Blue,Women,4.48,2025-08-11 18:35:00 
307,Mango Heritage Denim Jacket,"Comfortable, flattering, and designed to last.",Outerwear,Mango,201.59,White,Women,4.29,2024-09-20 12:26:00 
308,Louis Vuitton Chelsea Boots with Graphic Print,"Made with rubber for a premium hand-feel. Designed for training with a wrinkle-resistant silhouette. Details: subtle logo hardware, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Comfort notes: cushioned insole and grippy outsole for all-day wear.",Footwear,Louis Vuitton,436.93,Pink,Men,4.27,2025-04-11 10:09:00 
309,Balenciaga Sunglasses,"Comfortable, flattering, and designed to last.",Accessories,Balenciaga,627.33,Brown,Women,4.44,2025-01-28 15:46:00 
310,GymClark Heritage Running Jacket with Lace Trim Drop,"Comfortable, flattering, and designed to last.",Activewear,GymClark,28.57,Orange,Women,3.84,2024-09-26 16:20:00 
311,StreetWear Cashmere V-Neck Sweater,"Made with silk for a premium hand-feel. Designed for training with a breathable silhouette. Details: structured shoulders, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed.",Tops,StreetWear,128.18,Pink,Men,4.44,2025-12-09 00:18:00 
312,StreetWear Seamless Sports Bra,"This StreetWear Seamless Sports Bra is designed for everyday use. Made with recycled nylon for a premium hand-feel. Designed for formal events with a breathable silhouette. Details: functional pockets, adjustable straps, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Performance notes: supportive compression and quick-dry finish for high-intensity sessions.",Activewear,StreetWear,195.46,Yellow,Unisex,4.3,2025-05-16 21:00:00 
313,Asisas Pleated Midi Dress,Customers choose the Asisas Pleated Midi Dress for its reliability. A classic essential with elevated details.,Dresses,Asisas,211.05,Orange,Women,4.18,2024-07-31 20:01:00 
314,Mango Beanie Hat Drop,"The Mango Beanie Hat Drop stands out for its quality and style. Made with resin for a premium hand-feel. Designed for formal events with a cropped silhouette. Details: functional pockets, soft-touch lining, and reinforced seams. Fit notes: true to size; size up for a more relaxed drape. Care: machine wash cold or dry clean as needed. Finishing touch: pairs easily with both minimalist and statement looks.",Accessories,Mango,312.22,Purple,Unisex,4.1,2024-10-08 10:14:00 
315,Balenciaga Oxford Shirt with Zip Detail,A classic essential with elevated details.,Tops,Balenciaga,708.14,Green,Men,3.97,2026-01-11 03:29:00 
316,Asisas Heritage Denim Jacket,,Outerwear,Asisas,270.36,Orange,Women,4.21,2024-10-24 07:17:00 
317,Chanel Signature Sports Cap,,Accessories,Chanel,1203.42,Orange,Men,4.45,2025-03-04 16:26:00 
318,Prada Tuxedo Blazer,,Suits & Blazers,Prada,1177.02,Orange,Women,3.48,2025-05-30 04:03:00 
